#params: learningRate 0.300, momentum 0.900, numIterations 10000, printEvery 100, printFirst 10000
iteration 767, loss 0.00373785
iteration 768, loss 0.00373970
iteration 769, loss 0.00373614
iteration 770, loss 0.00371388
iteration 771, loss 0.00370018
iteration 772, loss 0.00369942
iteration 773, loss 0.00369383
iteration 774, loss 0.00369657
iteration 775, loss 0.00369900
iteration 776, loss 0.00370320
iteration 777, loss 0.00370468
iteration 778, loss 0.00369979
iteration 779, loss 0.00369501
iteration 780, loss 0.00368529
iteration 781, loss 0.00367182
iteration 782, loss 0.00366504
iteration 783, loss 0.00367185
iteration 784, loss 0.00366281
iteration 785, loss 0.00364244
iteration 786, loss 0.00363256
iteration 787, loss 0.00362919
iteration 788, loss 0.00363676
iteration 789, loss 0.00363250
iteration 790, loss 0.00362794
iteration 791, loss 0.00361372
iteration 792, loss 0.00360027
iteration 793, loss 0.00360025
iteration 794, loss 0.00359412
iteration 795, loss 0.00358294
iteration 796, loss 0.00357602
iteration 797, loss 0.00358140
iteration 798, loss 0.00359250
iteration 799, loss 0.00358312
iteration 800, loss 0.00357632
iteration 801, loss 0.00357062
iteration 802, loss 0.00358040
iteration 803, loss 0.00358685
iteration 804, loss 0.00357644
iteration 805, loss 0.00356025
iteration 806, loss 0.00355407
iteration 807, loss 0.00354084
iteration 808, loss 0.00356173
iteration 809, loss 0.00355115
iteration 810, loss 0.00354103
iteration 811, loss 0.00353117
iteration 812, loss 0.00351505
iteration 813, loss 0.00350759
iteration 814, loss 0.00351224
iteration 815, loss 0.00351626
iteration 816, loss 0.00351676
iteration 817, loss 0.00350549
iteration 818, loss 0.00351639
iteration 819, loss 0.00351422
iteration 820, loss 0.00350717
iteration 821, loss 0.00349559
iteration 822, loss 0.00349096
iteration 823, loss 0.00348980
iteration 824, loss 0.00347696
iteration 825, loss 0.00346881
iteration 826, loss 0.00346412
iteration 827, loss 0.00345955
iteration 828, loss 0.00344961
iteration 829, loss 0.00344001
iteration 830, loss 0.00343572
iteration 831, loss 0.00343545
iteration 832, loss 0.00343464
iteration 833, loss 0.00343118
iteration 834, loss 0.00342617
iteration 835, loss 0.00341669
iteration 836, loss 0.00341151
iteration 837, loss 0.00340924
iteration 838, loss 0.00340305
iteration 839, loss 0.00339688
iteration 840, loss 0.00338642
iteration 841, loss 0.00338631
iteration 842, loss 0.00339023
iteration 843, loss 0.00340421
iteration 844, loss 0.00339405
iteration 845, loss 0.00337847
iteration 846, loss 0.00337232
iteration 847, loss 0.00337385
iteration 848, loss 0.00336996
iteration 849, loss 0.00337578
iteration 850, loss 0.00337841
iteration 851, loss 0.00336854
iteration 852, loss 0.00337098
iteration 853, loss 0.00336718
iteration 854, loss 0.00335906
iteration 855, loss 0.00335088
